time,latitude,BEUTI
UTC,degrees_north,mmol m-1 s-1
2000-07-15T00:00:00Z,45.0,1.196
2000-08-15T00:00:00Z,33.0,0.004
2000-08-15T00:00:00Z,39.0,10.495
2000-08-15T00:00:00Z,45.0,1.888
2000-09-15T00:00:00Z,33.0,0.003
2000-09-15T00:00:00Z,39.0,4.136
2000-09-15T00:00:00Z,45.0,0.196
2000-10-15T00:00:00Z,33.0,0.01
2000-10-15T00:00:00Z,39.0,6.293
2000-10-15T00:00:00Z,45.0,0.009
2000-11-15T00:00:00Z,33.0,0.349
2000-11-15T00:00:00Z,39.0,6.209
2000-11-15T00:00:00Z,45.0,0.778
2000-12-15T00:00:00Z,33.0,0.553
2000-12-15T00:00:00Z,39.0,3.499
2000-12-15T00:00:00Z,45.0,-3.765
2001-01-15T00:00:00Z,33.0,0.679
2001-01-15T00:00:00Z,39.0,4.392
2001-01-15T00:00:00Z,45.0,-6.389
2001-02-15T00:00:00Z,33.0,2.275
2001-02-15T00:00:00Z,39.0,5.834
2001-02-15T00:00:00Z,45.0,2.365
2001-03-15T00:00:00Z,33.0,1.361
2001-03-15T00:00:00Z,39.0,20.602
2001-03-15T00:00:00Z,45.0,7.201
2001-04-15T00:00:00Z,33.0,3.503
2001-04-15T00:00:00Z,39.0,25.426
2001-04-15T00:00:00Z,45.0,1.333
2001-05-15T00:00:00Z,33.0,0.013
2001-05-15T00:00:00Z,39.0,35.774
2001-05-15T00:00:00Z,45.0,5.048
2001-06-15T00:00:00Z,33.0,0.112
2001-06-15T00:00:00Z,39.0,32.484
2001-06-15T00:00:00Z,45.0,1.273
2001-07-15T00:00:00Z,33.0,0.169
2001-07-15T00:00:00Z,39.0,21.196
2001-07-15T00:00:00Z,45.0,2.678
2001-08-15T00:00:00Z,33.0,0.067
2001-08-15T00:00:00Z,39.0,9.63
2001-08-15T00:00:00Z,45.0,0.21
2001-09-15T00:00:00Z,33.0,0.036
2001-09-15T00:00:00Z,39.0,6.161
2001-09-15T00:00:00Z,45.0,1.135
2001-10-15T00:00:00Z,33.0,0.013
2001-10-15T00:00:00Z,39.0,9.323
2001-10-15T00:00:00Z,45.0,0.272
2001-11-15T00:00:00Z,33.0,0.076
2001-11-15T00:00:00Z,39.0,0.97
2001-11-15T00:00:00Z,45.0,-3.304
2001-12-15T00:00:00Z,33.0,1.302
2001-12-15T00:00:00Z,39.0,4.675
2001-12-15T00:00:00Z,45.0,-2.247
2002-01-15T00:00:00Z,33.0,1.448
2002-01-15T00:00:00Z,39.0,12.807
2002-01-15T00:00:00Z,45.0,-2.613
2002-02-15T00:00:00Z,33.0,1.666
2002-02-15T00:00:00Z,39.0,4.81
2002-02-15T00:00:00Z,45.0,1.159
2002-03-15T00:00:00Z,33.0,4.543
2002-03-15T00:00:00Z,39.0,18.625
2002-03-15T00:00:00Z,45.0,3.336
2002-04-15T00:00:00Z,33.0,2.233
2002-04-15T00:00:00Z,39.0,25.684
2002-04-15T00:00:00Z,45.0,9.225
2002-05-15T00:00:00Z,33.0,1.554
2002-05-15T00:00:00Z,39.0,35.645
2002-05-15T00:00:00Z,45.0,5.094
2002-06-15T00:00:00Z,33.0,0.338
2002-06-15T00:00:00Z,39.0,50.279
2002-06-15T00:00:00Z,45.0,1.324
2002-07-15T00:00:00Z,33.0,0.111
2002-07-15T00:00:00Z,39.0,17.338
2002-07-15T00:00:00Z,45.0,2.078
2002-08-15T00:00:00Z,33.0,0.036
2002-08-15T00:00:00Z,39.0,17.016
2002-08-15T00:00:00Z,45.0,2.656
2002-09-15T00:00:00Z,33.0,0.011
2002-09-15T00:00:00Z,39.0,5.542
2002-09-15T00:00:00Z,45.0,1.375
2002-10-15T00:00:00Z,33.0,0.025
2002-10-15T00:00:00Z,39.0,10.907
2002-10-15T00:00:00Z,45.0,2.805
2002-11-15T00:00:00Z,33.0,0.082
2002-11-15T00:00:00Z,39.0,-1.168
2002-11-15T00:00:00Z,45.0,-6.708
2002-12-15T00:00:00Z,33.0,0.242
2002-12-15T00:00:00Z,39.0,-3.741
2002-12-15T00:00:00Z,45.0,-3.578
2003-01-15T00:00:00Z,33.0,0.27
