time,latitude,CUTI
UTC,degrees_north,m2 s-1
2002-02-15T00:00:00Z,45.0,0.089
2002-03-15T00:00:00Z,33.0,0.957
2002-03-15T00:00:00Z,39.0,1.167
2002-03-15T00:00:00Z,45.0,0.236
2002-04-15T00:00:00Z,33.0,0.568
2002-04-15T00:00:00Z,39.0,1.397
2002-04-15T00:00:00Z,45.0,0.678
2002-05-15T00:00:00Z,33.0,0.728
2002-05-15T00:00:00Z,39.0,1.833
2002-05-15T00:00:00Z,45.0,0.428
2002-06-15T00:00:00Z,33.0,0.418
2002-06-15T00:00:00Z,39.0,2.751
2002-06-15T00:00:00Z,45.0,0.363
2002-07-15T00:00:00Z,33.0,0.307
2002-07-15T00:00:00Z,39.0,1.617
2002-07-15T00:00:00Z,45.0,0.652
2002-08-15T00:00:00Z,33.0,0.372
2002-08-15T00:00:00Z,39.0,1.656
2002-08-15T00:00:00Z,45.0,0.543
2002-09-15T00:00:00Z,33.0,0.44
2002-09-15T00:00:00Z,39.0,0.727
2002-09-15T00:00:00Z,45.0,0.344
2002-10-15T00:00:00Z,33.0,0.315
2002-10-15T00:00:00Z,39.0,1.196
2002-10-15T00:00:00Z,45.0,0.343
2002-11-15T00:00:00Z,33.0,0.266
2002-11-15T00:00:00Z,39.0,-0.025
2002-11-15T00:00:00Z,45.0,-0.867
2002-12-15T00:00:00Z,33.0,0.381
2002-12-15T00:00:00Z,39.0,-0.591
2002-12-15T00:00:00Z,45.0,-1.022
2003-01-15T00:00:00Z,33.0,0.303
2003-01-15T00:00:00Z,39.0,-0.015
2003-01-15T00:00:00Z,45.0,-0.534
2003-02-15T00:00:00Z,33.0,0.371
2003-02-15T00:00:00Z,39.0,0.862
2003-02-15T00:00:00Z,45.0,0.116
2003-03-15T00:00:00Z,33.0,0.794
2003-03-15T00:00:00Z,39.0,0.712
2003-03-15T00:00:00Z,45.0,-0.463
2003-04-15T00:00:00Z,33.0,0.716
2003-04-15T00:00:00Z,39.0,0.706
2003-04-15T00:00:00Z,45.0,-0.25
2003-05-15T00:00:00Z,33.0,0.534
2003-05-15T00:00:00Z,39.0,1.722
2003-05-15T00:00:00Z,45.0,0.454
2003-06-15T00:00:00Z,33.0,0.513
2003-06-15T00:00:00Z,39.0,2.221
2003-06-15T00:00:00Z,45.0,0.918
2003-07-15T00:00:00Z,33.0,0.317
2003-07-15T00:00:00Z,39.0,1.78
2003-07-15T00:00:00Z,45.0,0.68
2003-08-15T00:00:00Z,33.0,0.792
2003-08-15T00:00:00Z,39.0,0.966
2003-08-15T00:00:00Z,45.0,0.513
2003-09-15T00:00:00Z,33.0,0.611
2003-09-15T00:00:00Z,39.0,0.81
2003-09-15T00:00:00Z,45.0,0.501
2003-10-15T00:00:00Z,33.0,0.312
2003-10-15T00:00:00Z,39.0,0.983
2003-10-15T00:00:00Z,45.0,-0.318
2003-11-15T00:00:00Z,33.0,0.428
2003-11-15T00:00:00Z,39.0,0.132
2003-11-15T00:00:00Z,45.0,-0.213
2003-12-15T00:00:00Z,33.0,0.269
2003-12-15T00:00:00Z,39.0,-0.324
2003-12-15T00:00:00Z,45.0,-0.5
2004-01-15T00:00:00Z,33.0,0.418
2004-01-15T00:00:00Z,39.0,0.258
2004-01-15T00:00:00Z,45.0,-0.336
2004-02-15T00:00:00Z,33.0,0.574
2004-02-15T00:00:00Z,39.0,0.111
2004-02-15T00:00:00Z,45.0,-0.266
2004-03-15T00:00:00Z,33.0,0.55
2004-03-15T00:00:00Z,39.0,1.58
2004-03-15T00:00:00Z,45.0,0.233
2004-04-15T00:00:00Z,33.0,0.672
2004-04-15T00:00:00Z,39.0,1.02
2004-04-15T00:00:00Z,45.0,0.117
2004-05-15T00:00:00Z,33.0,0.972
2004-05-15T00:00:00Z,39.0,1.87
2004-05-15T00:00:00Z,45.0,0.279
2004-06-15T00:00:00Z,33.0,0.49
2004-06-15T00:00:00Z,39.0,1.75
2004-06-15T00:00:00Z,45.0,0.535
2004-07-15T00:00:00Z,33.0,0.555
2004-07-15T00:00:00Z,39.0,1.161
2004-07-15T00:00:00Z,45.0,0.486
2004-08-15T00:00:00Z,33.0,0.362
